passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
6,2,,Premier League,Y,50.0,Arsenal,0,0,0,0,1,0,11,0,2023-08-12,0.0,0,0,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,90,0,20,1,1,"RM,RB",0,0,0,0.0,12,L 1–2,Away,0,Sat,Matchweek 1
59,1,,Premier League,Y,77.6,Sheffield Utd,2,0,0,0,10,4,46,0,2023-08-18,0.0,4,2,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,90,1,88,0,2,"RM,RB",0,2,1,0.4,76,W 2–1,Home,0,Fri,Matchweek 2
20,1,,Premier League,Y,58.8,Manchester Utd,0,1,0,0,4,2,15,0,2023-08-26,0.0,1,1,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,90,0,51,1,4,WB,0,0,1,0.0,34,L 2–3,Away,0,Sat,Matchweek 3
