passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
32,2,,Premier League,Y,82.1,Manchester Utd,0,2,0,0,4,1,23,0,2023-08-14,0.0,3,3,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,76,0,48,1,3,LB,0,0,1,0.0,39,L 0–1,Away,0,Mon,Matchweek 1
40,5,,Premier League,Y,87.0,Brighton,0,2,0,0,5,3,31,0,2023-08-19,0.3,1,0,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.3,85,1,54,0,4,LB,0,0,0,0.0,46,L 1–4,Home,0,Sat,Matchweek 2
11,0,,Premier League,N,61.1,Everton,0,0,0,0,2,1,15,0,2023-08-26,0.0,1,1,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,45,0,25,0,3,LM,0,0,0,0.0,18,W 1–0,Away,0,Sat,Matchweek 3
