passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
3,0,,Premier League,N,60.0,Arsenal,1,0,0,0,0,1,5,1,2023-08-12,0.6,0,0,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.6,20,1,10,0,0,"FW,LW",0,0,0,0.0,5,L 1–2,Away,1,Sat,Matchweek 1
10,0,,Premier League,Y,83.3,Sheffield Utd,0,2,0,0,3,3,13,1,2023-08-18,0.3,0,1,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.3,83,1,21,0,3,FW,0,0,0,0.1,12,W 2–1,Home,1,Fri,Matchweek 2
14,0,,Premier League,Y,63.6,Manchester Utd,1,2,0,0,1,1,19,1,2023-08-26,0.7,1,0,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.7,80,3,33,0,2,FW,0,0,0,0.0,22,L 2–3,Away,1,Sat,Matchweek 3
