passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,bench_explain,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
6,0,,Premier League,N,100.0,Luton Town,0,0,0,0,0,0,5,1,2023-08-12,0.3,0,0,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.3,17,1,9,0,1,RW,0,,0,0,0.0,6,W 4–1,Home,1,Sat,Matchweek 1
,,,Premier League,N,,Wolves,,,,,,,,,2023-08-19,,,,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,,,"On matchday squad, but did not play",,,,,W 4–1,Away,,Sat,Matchweek 2
8,3,,Premier League,N,66.7,West Ham,0,1,0,0,0,1,10,0,2023-08-26,0.0,2,1,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,19,0,17,0,3,RW,0,,0,0,0.1,12,L 1–3,Home,0,Sat,Matchweek 3
