passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
26,2,,Premier League,Y,55.3,Chelsea,0,0,0,0,4,1,21,0,2023-08-13,0.0,0,0,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,90,0,57,0,1,RB,0,0,1,0.0,47,D 1–1,Away,0,Sun,Matchweek 1
53,1,,Premier League,Y,75.7,Bournemouth,1,3,0,0,6,7,34,2,2023-08-19,0.1,6,1,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.1,74,3,79,1,4,RB,0,0,0,0.1,70,W 3–1,Home,0,Sat,Matchweek 2
35,2,,Premier League,Y,70.0,Newcastle Utd,1,2,0,0,3,3,20,0,2023-08-27,0.0,3,1,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,90,0,58,0,2,RB,0,0,1,0.1,50,W 2–1,Away,0,Sun,Matchweek 3
