passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,bench_explain,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
19,0,,Premier League,Y,76.0,Tottenham,0,0,0,0,1,1,9,0,2023-08-13,0.0,0,2,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",0.0,83,0,35,1,0,CB,0,,0,0,0.0,25,D 2–2,Home,0,Sun,Matchweek 1
6,0,,Premier League,N,85.7,Fulham,1,0,0,0,1,2,7,0,2023-08-19,0.1,1,0,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",0.1,2,1,8,0,0,RB,0,,1,0,1.0,7,W 3–0,Away,0,Sat,Matchweek 2
,,,Premier League,N,,Crystal Palace,,,,,,,,,2023-08-26,,,,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,,,,,,,,"On matchday squad, but did not play",,,,,D 1–1,Home,,Sat,Matchweek 3
