passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,bench_explain,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
65,3,,Premier League,Y,94.2,Burnley,1,0,0,0,1,2,53,0,2023-08-11,0.3,1,0,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.3,78,1,79,2,0,CB,0,,0,0,0.0,69,W 3–0,Away,0,Fri,Matchweek 1
,,,Super Cup,Y,,Sevilla,,,0,0,,,,2,2023-08-16,,,,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,120,2,,0,,CB,0,,0,0,,,D 1 ,Home,0,Wed,UEFA Super Cup
,,,Premier League,N,,Newcastle Utd,,,,,,,,,2023-08-19,,,,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,,,,,,,,"On matchday squad, but did not play",,,,,W 1–0,Home,,Sat,Matchweek 2
79,1,,Premier League,Y,97.5,Sheffield Utd,0,0,0,0,4,2,66,0,2023-08-27,0.1,1,0,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.1,90,1,89,2,0,CB,0,,0,0,0.0,81,W 2–1,Away,0,Sun,Matchweek 3
