passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
19,0,,Premier League,Y,76.0,Chelsea,0,0,0,0,0,1,20,0,2023-08-13,0.0,0,0,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,90,0,27,0,0,GK,0,0,0,0.0,25,D 1–1,Away,0,Sun,Matchweek 1
42,0,,Premier League,Y,82.4,Bournemouth,0,0,0,0,0,0,36,0,2023-08-19,0.0,0,0,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,90,0,55,0,0,GK,0,0,1,0.0,51,W 3–1,Home,0,Sat,Matchweek 2
33,0,,Premier League,Y,70.2,Newcastle Utd,0,0,0,0,0,0,28,0,2023-08-27,0.0,0,0,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,90,0,48,0,0,GK,0,0,0,0.0,47,W 2–1,Away,0,Sun,Matchweek 3
