passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
,,,Community Shield,Y,,Arsenal,,,0,0,,,,0,2023-08-06,,,,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,90,0,,0,,LB,0,0,0,,,D 1 ,Neutral,0,Sun,FA Community Shield
89,3,,Premier League,Y,87.3,Burnley,0,0,0,0,2,1,78,0,2023-08-11,0.0,1,2,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,90,0,109,0,0,"CB,RB",0,0,0,0.0,102,W 3–0,Away,0,Fri,Matchweek 1
,,,Super Cup,Y,,Sevilla,,,0,0,,,,0,2023-08-16,,,,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,120,2,,1,,CB,0,0,0,,,D 1 ,Home,0,Wed,UEFA Super Cup
57,1,,Premier League,Y,95.0,Newcastle Utd,0,0,0,0,4,1,30,0,2023-08-19,0.0,0,2,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,90,1,68,2,0,CB,0,0,0,0.1,60,W 1–0,Home,0,Sat,Matchweek 2
