passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
17,2,,Premier League,Y,63.0,Crystal Palace,0,1,0,0,1,1,18,0,2023-08-12,0.1,1,1,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,90,2,42,1,1,CB,0,0,1,0.0,27,L 0–1,Home,0,Sat,Matchweek 1
42,3,,Premier League,Y,72.4,Nott'ham Forest,1,1,0,0,1,2,30,0,2023-08-18,0.1,1,2,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,90,1,71,1,2,CB,0,0,0,0.0,58,L 1–2,Away,0,Fri,Matchweek 2
13,1,,Premier League,Y,76.5,Manchester City,0,0,0,0,1,0,6,0,2023-08-27,0.3,0,4,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats"">Sheffield Utd</a>",0.3,90,2,29,1,0,CB,0,0,0,0.0,17,L 1–2,Home,0,Sun,Matchweek 3
