passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
,,,Allsvenskan,Y,,Norrköping,,,0,0,,,,2,2023-07-02,,,,"<a href=""/en/squads/8774e267/Hacken-Stats"">Häcken</a>",,77,3,,1,,FW,0,0,0,,,D 2–2,Away,0,Sun,Matchweek 13
10,2,,Premier League,Y,83.3,Crystal Palace,0,0,0,0,3,2,14,0,2023-08-12,0.0,2,1,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,86,0,20,0,5,RW,0,0,0,0.3,12,L 0–1,Home,0,Sat,Matchweek 1
13,0,,Premier League,Y,81.3,Nott'ham Forest,0,2,0,0,3,0,14,1,2023-08-18,0.3,2,1,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats"">Sheffield Utd</a>",0.3,81,1,24,0,7,"AM,FW",0,0,0,0.0,16,L 1–2,Away,0,Fri,Matchweek 2
8,0,,Premier League,Y,57.1,Manchester City,1,1,0,0,0,2,16,0,2023-08-27,0.0,2,0,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,90,0,23,0,5,FW,0,0,0,0.0,14,L 1–2,Home,0,Sun,Matchweek 3
