passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
,,,Gold Cup,Y,,St. Kitts & Nevis,,,0,0,,,,0,2023-07-02,,,,"<span title=""Jamaica""><span class=""f-i f-jm"" style="""">jm</span></span>",,45,1,,0,,FW,0,0,0,,,W 5–0,Neutral,0,Sun,Group stage
,,,Gold Cup,Y,,Guatemala,,,0,0,,,,0,2023-07-09,,,,"<span title=""Jamaica""><span class=""f-i f-jm"" style="""">jm</span></span>",,77,3,,0,,FW,0,0,0,,,W 1–0,Neutral,0,Sun,Quarter-finals
,,,Gold Cup,Y,,Mexico,,,0,0,,,,2,2023-07-12,,,,"<span title=""Jamaica""><span class=""f-i f-jm"" style="""">jm</span></span>",,83,3,,0,,FW,0,0,0,,,L 0–3,Neutral,0,Wed,Semi-finals
7,1,,Premier League,Y,50.0,Bournemouth,0,3,0,0,1,3,17,0,2023-08-12,0.0,1,1,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,77,0,29,0,5,FW,0,0,1,0.0,14,D 1–1,Away,0,Sat,Matchweek 1
5,0,,Premier League,Y,45.5,Chelsea,0,0,0,0,1,1,15,1,2023-08-20,0.2,1,0,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.2,75,2,18,0,0,FW,0,0,0,0.0,11,W 3–1,Home,1,Sun,Matchweek 2
7,1,,Premier League,Y,70.0,Brighton,2,3,0,0,0,3,11,2,2023-08-26,0.7,3,1,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.7,78,3,22,0,4,FW,0,0,0,0.3,10,W 3–1,Away,1,Sat,Matchweek 3
