passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
8,2,,Premier League,Y,61.5,West Ham,0,1,0,0,1,0,13,0,2023-08-12,0.0,0,2,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0.0,59,0,24,1,1,LW,0,0,0,0.0,13,D 1–1,Home,0,Sat,Matchweek 1
7,1,,Premier League,Y,46.7,Liverpool,0,0,0,0,2,0,13,0,2023-08-19,0.0,1,0,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0.0,62,0,22,0,4,LW,0,0,1,0.0,15,L 1–3,Away,0,Sat,Matchweek 2
15,0,,Premier League,N,88.2,Tottenham,0,1,0,0,5,3,10,1,2023-08-26,0.1,1,1,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0.1,31,2,23,0,1,"LW,CM",0,0,0,0.0,17,L 0–2,Home,0,Sat,Matchweek 3
