passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
,,,Community Shield,Y,,Arsenal,,,0,0,,,,0,2023-08-06,,,,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,90,1,,1,,AM,0,0,1,,,D 1 ,Neutral,0,Sun,FA Community Shield
36,1,,Premier League,Y,81.8,Burnley,1,0,0,0,2,6,25,1,2023-08-11,0.3,2,1,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.3,90,3,53,0,0,"LM,AM,FW",0,1,0,0.3,44,W 3–0,Away,0,Fri,Matchweek 1
,,,Super Cup,N,,Sevilla,,,0,0,,,,0,2023-08-16,,,,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,36,0,,0,,,0,0,0,,,D 1 ,Home,0,Wed,UEFA Super Cup
24,1,,Premier League,Y,77.4,Newcastle Utd,0,2,0,0,4,4,25,1,2023-08-19,0.1,3,1,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.1,90,1,40,0,3,AM,0,0,1,0.1,31,W 1–0,Home,1,Sat,Matchweek 2
34,0,,Premier League,Y,65.4,Sheffield Utd,0,0,0,0,4,3,44,3,2023-08-27,0.7,1,3,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.7,90,8,67,1,0,AM,0,0,0,0.2,52,W 2–1,Away,0,Sun,Matchweek 3
