passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
39,2,,Premier League,Y,88.6,West Ham,0,2,0,0,3,4,27,0,2023-08-12,0.0,3,0,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0.0,74,0,50,0,3,RB,0,0,0,0.1,44,D 1–1,Home,0,Sat,Matchweek 1
33,2,,Premier League,Y,76.7,Liverpool,0,0,0,0,4,1,27,0,2023-08-19,0.0,0,3,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0.0,90,1,59,0,5,RB,0,0,0,0.0,43,L 1–3,Away,0,Sat,Matchweek 2
42,1,,Premier League,Y,75.0,Tottenham,0,2,0,0,4,2,25,0,2023-08-26,0.0,0,2,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0.0,90,0,61,0,2,RB,0,0,0,0.1,56,L 0–2,Home,0,Sat,Matchweek 3
