passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
31,2,,Premier League,Y,96.9,Aston Villa,0,0,0,0,2,4,34,1,2023-08-12,0.1,4,1,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,85,1,39,1,2,RW,0,0,0,0.3,32,W 5–1,Home,0,Sat,Matchweek 1
23,0,,Premier League,Y,79.3,Manchester City,0,0,0,0,3,2,32,0,2023-08-19,0.1,7,2,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,85,2,39,0,1,RW,0,0,0,0.1,29,L 0–1,Away,0,Sat,Matchweek 2
31,1,,Premier League,Y,86.1,Liverpool,0,0,0,0,3,3,28,1,2023-08-27,0.6,5,1,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.6,90,6,45,1,0,RW,0,0,0,0.0,36,L 1–2,Home,0,Sun,Matchweek 3
