passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
34,1,,Premier League,Y,73.9,Sheffield Utd,1,1,0,0,1,4,38,1,2023-08-12,0.1,4,4,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,90,2,61,1,4,RW,0,1,0,0.7,46,W 1–0,Away,0,Sat,Matchweek 1
17,2,,Premier League,Y,73.9,Arsenal,0,1,0,0,2,3,22,0,2023-08-21,0.1,4,0,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,90,3,37,0,6,RW,0,0,1,0.0,23,L 0–1,Home,0,Mon,Matchweek 2
29,2,,Premier League,Y,82.9,Brentford,1,4,0,0,2,6,40,1,2023-08-26,0.2,5,0,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.2,90,5,54,0,7,RW,0,1,0,0.1,35,D 1–1,Away,0,Sat,Matchweek 3
