match_report,tackles,passes_completed,comp,game_started,passes_pct,opponent,gca,take_ons_won,pens_made,cards_red,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,bench_explain,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
,,,Premier League,N,,Sheffield Utd,,,,,,,,,2023-08-12,,,,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",,,,,,,,,"On matchday squad, but did not play",,,,,W 1–0,Away,,Sat,Matchweek 1
,2,15,Premier League,N,83.3,Arsenal,0,0,0,0,4,0,13,0,2023-08-21,0.0,2,0,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,17,0,19,0,0,LW,0,,0,0,0.0,18,L 0–1,Home,0,Mon,Matchweek 2
,0,5,Premier League,N,71.4,Brentford,0,1,0,0,0,1,6,0,2023-08-26,0.0,0,0,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,20,0,7,0,1,AM,0,,0,0,0.0,7,D 1–1,Away,0,Sat,Matchweek 3
