passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
78,3,,Premier League,Y,90.7,Sheffield Utd,0,2,0,0,10,5,69,2,2023-08-12,0.2,4,1,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.2,90,2,99,0,2,CB,0,0,0,0.1,86,W 1–0,Away,0,Sat,Matchweek 1
63,1,,Premier League,Y,86.3,Arsenal,0,1,0,0,10,2,43,0,2023-08-21,0.0,1,1,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,90,0,80,1,1,CB,0,0,0,0.0,73,L 0–1,Home,0,Mon,Matchweek 2
40,3,,Premier League,Y,75.5,Brentford,1,1,0,0,9,7,39,1,2023-08-26,0.1,0,2,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,90,1,72,1,1,CB,0,0,0,0.1,53,D 1–1,Away,1,Sat,Matchweek 3
