passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
,,,Gold Cup,Y,,Qatar,,,0,0,,,,0,2023-07-02,,,,"<span title=""Mexico""><span class=""f-i f-mx"" style="""">mx</span></span>",,90,3,,3,,CB,0,0,0,,,L 0–1,Neutral,0,Sun,Group stage
,,,Gold Cup,Y,,Costa Rica,,,0,0,,,,0,2023-07-08,,,,"<span title=""Mexico""><span class=""f-i f-mx"" style="""">mx</span></span>",,89,0,,1,,DM,0,0,1,,,W 2–0,Neutral,0,Sat,Quarter-finals
,,,Gold Cup,N,,Jamaica,,,0,0,,,,0,2023-07-12,,,,"<span title=""Mexico""><span class=""f-i f-mx"" style="""">mx</span></span>",,19,0,,0,,,0,0,1,,,W 3–0,Neutral,0,Wed,Semi-finals
,,,Gold Cup,Y,,Panama,,,0,0,,,,0,2023-07-16,,,,"<span title=""Mexico""><span class=""f-i f-mx"" style="""">mx</span></span>",,90,0,,2,,CM,0,0,1,,,W 1–0,Neutral,0,Sun,Final
2,0,,Premier League,N,50.0,Chelsea,0,0,0,0,0,0,3,0,2023-08-20,0.0,0,1,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,10,0,8,1,0,DM,0,0,0,0.0,4,W 3–1,Home,0,Sun,Matchweek 2
8,1,,Premier League,Y,53.3,Brighton,0,1,0,0,1,0,7,0,2023-08-26,0.0,0,2,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,83,0,27,2,1,"DM,CM",0,0,1,0.0,15,W 3–1,Away,0,Sat,Matchweek 3
