passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
9,0,,Premier League,Y,37.5,Bournemouth,0,0,0,0,0,0,9,0,2023-08-12,0.0,0,0,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,90,0,27,0,0,GK,0,0,0,0.0,24,D 1–1,Away,0,Sat,Matchweek 1
17,0,,Premier League,Y,53.1,Chelsea,0,0,0,0,0,0,13,0,2023-08-20,0.0,0,0,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,90,0,36,0,0,GK,0,0,0,0.0,32,W 3–1,Home,0,Sun,Matchweek 2
14,0,,Premier League,Y,42.4,Brighton,0,0,0,0,0,0,14,0,2023-08-26,0.0,0,0,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,90,0,39,0,0,GK,0,0,0,0.0,33,W 3–1,Away,0,Sat,Matchweek 3
