passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
1,0,,Premier League,N,50.0,Aston Villa,0,0,0,0,0,0,0,0,2023-08-12,0.0,0,0,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,1,0,3,0,0,RM,0,0,0,0.0,2,W 5–1,Home,0,Sat,Matchweek 1
9,1,,Premier League,N,75.0,Manchester City,0,1,0,0,1,1,10,0,2023-08-19,0.0,3,1,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,25,0,16,1,2,LM,0,0,0,0.0,12,L 0–1,Away,0,Sat,Matchweek 2
7,1,,Premier League,N,100.0,Liverpool,0,0,0,0,1,1,7,0,2023-08-27,0.0,0,0,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,9,0,9,0,0,LM,0,0,0,0.0,7,L 1–2,Home,0,Sun,Matchweek 3
