passes_completed,tackles,match_report,comp,game_started,passes_pct,opponent,gca,take_ons_won,cards_red,pens_made,progressive_passes,sca,carries,shots_on_target,date,xg,progressive_carries,blocks,team,npxg,minutes,shots,touches,interceptions,take_ons,position,pens_att,assists,cards_yellow,xg_assist,passes,result,venue,goals,dayofweek,round
24,0,,Premier League,Y,75.0,Wolves,0,2,0,0,2,4,24,0,2023-08-14,0.2,7,3,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.2,76,3,38,0,2,RM,0,0,0,0.3,32,W 1–0,Home,0,Mon,Matchweek 1
14,6,,Premier League,Y,73.7,Tottenham,0,0,0,0,5,2,24,0,2023-08-19,0.2,3,0,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.2,65,3,37,2,3,RW,0,0,1,0.1,19,L 0–2,Away,0,Sat,Matchweek 2
37,0,,Premier League,Y,84.1,Nott'ham Forest,0,1,0,0,6,7,46,2,2023-08-26,0.2,3,0,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.2,84,4,55,0,5,RW,0,0,0,0.4,44,W 3–2,Home,0,Sat,Matchweek 3
